TABLE 1 (Continued)
-------

SPRITE   H    L    INK    PAPER    FLASH    BRIGHT    XPOS    YPOS      1     2     3     4     5     6     7     8
------   -    -    ---    -----    -----    ------    ----    ----      -     -     -     -     -     -     -     -
  43     3    3     6       0        0         1        1       1      96   114    88    46   181    26    21    90
  43     3    3     6       0        0         1        2       1      16    41    88   104   212   174    85   170
  43     3    3     6       0        0         1        3       1     128     2    14    20    40   208    98   224
  43     3    3     6       0        0         1        1       2      13    10    53   234    61    10    21    42
  43     3    3     6       0        0         1        2       2      85   170    85   170    85   170    85   170
  43     3    3     6       0        0         1        3       2      64   160    80   174   120   192    64   226
  43     3    3     6       0        0         1        1       3      85   170   255     2    70    13    42    12
  43     3    3     6       0        0         1        2       3      85   170    89   168   208    49    16     0
  43     3    3     6       0        0         1        3       3      96   180   168   216    40    20    74     7
  44     4    5     5       0        0         1        1       1       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        2       1       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        3       1       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        4       1       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        5       1       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        1       2       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        2       2       0     0     0     0     1     1     7     6
  44     4    5     5       0        0         1        3       2       0     0     0     0   165   255    66    36
  44     4    5     5       0        0         1        4       2       0     0     0     0   128   128   224    96
  44     4    5     5       0        0         1        5       2       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        1       3       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        2       3      12    15     5     0     7    13   213    47
  44     4    5     5       0        0         1        3       3      24   255    90     0   255    90    90   255
  44     4    5     5       0        0         1        4       3      48   240   160     0   224   176   171   244
  44     4    5     5       0        0         1        5       3       0     0     0     0     0     0     0     0
  44     4    5     5       0        0         1        1       4       0     0     1     6     9    22    72    48
  44     4    5     5       0        0         1        2       4     237   221   127   140    48   192     0     0
  44     4    5     5       0        0         1        3       4      36   165   255   129    44    94   191   191
  44     4    5     5       0        0         1        4       4     183   187   254    49    12     3     0     0
  44     4    5     5       0        0         1        5       4       0     0   128    96   144   104    18    12
  45     3    3     7       0        0         1        1       1       0     0    18     9     9    55    33    65
  45     3    3     7       0        0         1        2       1       0     0    12    24    56   112   231   207
  45     3    3     7       0        0         1        3       1       0    32    80     8     4    58   196   201
